PAIS;AÑO;POBLACION;GDP USD;electricity_demand;electricity_generation;electricity_share_energy;energy_cons_change_% ;energy_cons_change_twh;energy_per_capita;fossil_cons_change_% ;fossil_cons_change_twh;fossil_elec_per_capita;fossil_electricity;fossil_energy_per_capita;fossil_fuel_consumption;fossil_share_elec;fossil_share_energy;greenhouse_gas_emissions;hydro_cons_change_% %;hydro_cons_change_twh;hydro_consumption;hydro_elec_per_capita;hydro_electricity;hydro_energy_per_capita;hydro_share_elec;hydro_share_energy;low_carbon_cons_change_%;low_carbon_cons_change_twh;low_carbon_consumption;low_carbon_elec_per_capita;low_carbon_electricity;low_carbon_energy_per_capita;low_carbon_share_elec %;low_carbon_share_energy %;net_elec_imports_Trw;net_elec_imports_share_demand %;renewables_cons_change_% %;renewables_cons_change_twh;renewables_consumption;renewables_elec_per_capita;renewables_electricity;renewables_energy_per_capita;renewables_share_elec %;renewables_share_energy %;solar_cons_change_% %;solar_cons_change_twh;solar_consumption;solar_elec_per_capita;solar_electricity;solar_energy_per_capita;solar_share_elec;solar_share_energy;wind_cons_change_% %;wind_cons_change_twh;wind_consumption;wind_elec_per_capita;wind_electricity;wind_energy_per_capita;wind_share_elec %;wind_share_energy %
Chile;2018;18701452;4.13E+11;76.74;76.74;16.388;3.982;17.931;25039.641;1.284;4.491;2344.738;43.85;18946.553;354.328;57.141;75.666;32.62;9.571;5.068;61.822;1241.08;23.21;3305.738;30.245;13.202;13.594;13.44;113.95;1758.687;32.89;6093.088;42.859;24.334;0;0;13.594;13.44;113.95;1758.687;32.89;6093.088;42.859;24.334;31.386;3.174;13.543;291.421;5.45;724.154;7.102;2.892;-1.039;-0.156;9.493;214.957;4.02;507.586;5.238;2.027
Chile;2019;19039484;;77.39;77.39;16.328;1.217;5.701;24894.514;2.382;8.439;2371.913;45.16;19053.412;362.767;58.354;76.537;32.88;-8.244;-5.306;56.516;1094.042;20.83;2968.364;26.916;11.924;-1.609;-2.738;111.212;1692.798;32.23;5841.104;41.646;23.463;0;0;-1.609;-2.738;111.212;1692.798;32.23;5841.104;41.646;23.463;23.082;3.064;16.607;335.093;6.38;872.252;8.244;3.504;36.437;3.411;12.904;253.158;4.82;677.732;6.228;2.722
Chile;2020;19300318;;77.75;77.75;17.572;-6.646;-31.501;22925.926;-9.568;-34.711;2263.693;43.69;16997.432;328.056;56.193;74.141;31.85;1.309;0.529;57.045;1068.894;20.63;2955.674;26.534;12.892;3.754;3.21;114.422;1764.738;34.06;5928.491;43.807;25.859;0;0;3.754;3.21;114.422;1764.738;34.06;5928.491;43.807;25.859;20.866;3.392;19.999;395.848;7.64;1036.189;9.826;4.52;14.444;1.81;14.713;287.042;5.54;762.333;7.125;3.325
Chile;2021;19493184;;81.51;81.51;17.093;7.77;34.379;24462.756;9.955;32.659;2395.709;46.7;18504.689;360.715;57.294;75.644;33.98;-16.798;-9.756;47.289;845.424;16.48;2425.94;20.218;9.917;2.219;1.72;116.142;1785.752;34.81;5958.066;42.706;24.356;0;0;2.219;1.72;116.142;1785.752;34.81;5958.066;42.706;24.356;41.174;8.131;28.13;553.527;10.79;1443.058;13.238;5.899;36.16;5.247;19.96;369.873;7.21;1023.961;8.846;4.186
Chile;2022;19603736;;83.22;83.22;16.751;4.185;19.955;25342.707;-0.992;-3.579;1997.068;39.15;18217.781;357.137;47.044;71.886;27.68;23.105;10.714;58.003;1033.987;20.27;2958.779;24.357;11.675;21.559;23.533;139.675;2248.041;44.07;7124.925;52.956;28.114;0;0;21.559;23.533;139.675;2248.041;44.07;7124.925;52.956;28.114;34.478;9.561;37.69;740.675;14.52;1922.614;17.448;7.586;22.778;4.457;24.417;449.914;8.82;1245.55;10.598;4.915
Colombia;2010;44816104;4.92E+11;55.83;56.62;13.335;5.156;20.819;9474.296;7.242;20.471;356.122;15.96;6764.048;303.138;28.188;71.394;10.43;-0.685;-1.477;112.57;892.536;40;2511.83;70.646;26.512;2.951;0.348;121.463;907.263;40.66;2710.248;71.812;28.606;-0.79;-1.415;2.951;0.348;121.463;907.263;40.66;2710.248;71.812;28.606;;0;0;0.223;0.01;0;0.018;0;-33.163;-0.054;0.107;0.893;0.04;2.389;0.071;0.025
Colombia;2011;45308896;5.24E+11;57.39;58.92;13.276;4.521;19.196;9794.911;-1.391;-4.215;223.135;10.11;6597.447;298.923;17.159;67.356;7.04;19.405;21.024;133.595;1068.002;48.39;2948.531;82.128;30.103;20.585;23.411;144.874;1077.272;48.81;3197.464;82.841;32.644;-1.53;-2.666;20.585;23.411;144.874;1077.272;48.81;3197.464;82.841;32.644;;0;0;0.221;0.01;0;0.017;0;7.006;0.007;0.114;0.883;0.04;2.513;0.068;0.026
Colombia;2012;45782420;5.45E+11;59.83;60.54;12.828;6.34;28.136;10308.172;10.171;30.404;283.078;12.96;7193.312;329.327;21.407;69.783;8.9;-1.746;-3.129;130.466;1028.998;47.11;2849.696;77.816;27.645;-0.392;-2.268;142.606;1039.264;47.58;3114.861;78.593;30.217;-0.71;-1.187;-0.392;-2.268;142.606;1039.264;47.58;3114.861;78.593;30.217;;0;0;0.218;0.01;0;0.017;0;32.91;0.037;0.15;1.092;0.05;3.285;0.083;0.032
Colombia;2013;46237928;5.72E+11;70.84;72.19;14.883;2.777;13.107;10490.081;6.906;22.743;469.528;21.71;7614.319;352.07;30.073;72.586;14.35;-6.765;-9.559;120.907;1076.173;49.76;2614.891;68.929;24.927;-5.349;-9.637;132.969;1091.744;50.48;2875.762;69.927;27.414;-1.35;-1.906;-5.349;-9.637;132.969;1091.744;50.48;2875.762;69.927;27.414;;0;0;0.216;0.01;0;0.014;0;5.05;0.007;0.157;1.298;0.06;3.397;0.083;0.032
Colombia;2014;46677944;5.97E+11;68.25;69.05;13.524;5.267;25.546;10938.481;6.732;23.703;449.677;20.99;8050.34;375.773;30.398;73.597;13.86;0.855;0.303;121.21;1012.255;47.25;2596.737;68.429;23.739;1.986;1.843;134.813;1029.608;48.06;2888.142;69.602;26.403;-0.8;-1.172;1.986;1.843;134.813;1029.608;48.06;2888.142;69.602;26.403;;0;0;0.214;0.01;0;0.014;0;21.875;0.033;0.19;1.5;0.07;4.076;0.101;0.037
Colombia;2015;47119728;6.15E+11;75.81;76.22;15.767;-5.324;-27.183;10259.04;-7.101;-26.684;577.677;27.22;7408.554;349.089;35.712;72.215;17.93;-0.134;-0.883;120.327;1017.408;47.94;2553.646;62.897;24.892;0.226;-0.498;134.314;1039.904;49;2850.486;64.288;27.785;-0.41;-0.541;0.226;-0.498;134.314;1039.904;49;2850.486;64.288;27.785;;0;0;0.212;0.01;0;0.013;0;-2.638;-0.006;0.184;1.486;0.07;3.908;0.092;0.038
Colombia;2016;47625960;6.27E+11;74.89;74.56;13.69;12.663;61.214;11435.303;16.011;55.891;525.344;25.02;8503.356;404.981;33.557;74.361;16.59;4.713;4.926;125.253;1017.512;48.46;2629.932;64.995;22.998;3.956;5.323;139.637;1040.189;49.54;2931.946;66.443;25.639;0.33;0.441;3.956;5.323;139.637;1040.189;49.54;2931.946;66.443;25.639;;0;0;0.21;0.01;0;0.013;0;-25.579;-0.048;0.136;1.05;0.05;2.86;0.067;0.025
Colombia;2017;48351668;6.36E+11;77.53;77.46;14.091;0.934;5.085;11368.834;-5.381;-21.793;332.357;16.07;7925.006;383.187;20.746;69.708;11.49;22.527;27.313;152.566;1254.145;60.64;3155.335;78.286;27.754;17.954;26.878;166.515;1269.656;61.39;3443.828;79.254;30.292;0.07;0.09;17.954;26.878;166.515;1269.656;61.39;3443.828;79.254;30.292;;0.013;0.013;0.207;0.01;0.275;0.013;0.002;-93.964;-0.128;0.008;0;0;0.169;0;0.001
Colombia;2018;49276968;6.52E+11;79.3;79.19;14.181;1.586;8.717;11332.247;2.408;9.229;387.808;19.11;7963.477;392.416;24.132;70.273;13.52;-1.18;-2.682;149.884;1200.561;59.16;3041.659;74.706;26.841;1.698;-0.512;166.003;1219.231;60.08;3368.769;75.868;29.727;0.11;0.139;1.698;-0.512;166.003;1219.231;60.08;3368.769;75.868;29.727;140;0.018;0.032;0.406;0.02;0.644;0.025;0.006;1314.33;0.107;0.115;0.812;0.04;2.332;0.051;0.021
Colombia;2019;50187404;;79.91;78.15;13.876;0.855;4.774;11221.787;2.382;9.346;475.02;23.84;8005.239;401.762;30.505;71.337;16.27;-3.909;-6.389;143.494;1055.643;52.98;2859.172;67.793;25.479;-1.968;-4.573;161.43;1082.144;54.31;3216.548;69.495;28.663;1.76;2.202;-1.968;-4.573;161.43;1082.144;54.31;3216.548;69.495;28.663;1000.5;0.316;0.348;2.59;0.13;6.936;0.166;0.062;45.764;0.052;0.167;1.196;0.06;3.326;0.077;0.03
Colombia;2020;50930656;;78.19;77.14;15.049;-8.986;-50.606;10064.389;-9.428;-37.879;533.47;27.17;7144.673;363.883;35.222;70.99;18.19;-8.449;-12.607;130.887;951.097;48.44;2569.912;62.795;25.535;-8.325;-12.727;148.703;981.138;49.97;2919.716;64.778;29.01;1.05;1.343;-8.325;-12.727;148.703;981.138;49.97;2919.716;64.778;29.01;44.48;0.153;0.501;3.731;0.19;9.839;0.246;0.098;-84.018;-0.14;0.027;0.196;0.01;0.522;0.013;0.005
Colombia;2021;51516560;;81.37;80.91;14.088;12.039;61.713;11147.847;8.881;32.316;409.577;21.1;7690.708;396.199;26.078;68.988;14.65;21.388;27.412;158.3;1129.54;58.19;3072.793;71.919;27.564;19.613;29.397;178.1;1160.986;59.81;3457.138;73.922;31.012;0.46;0.565;19.613;29.397;178.1;1160.986;59.81;3457.138;73.922;31.012;69.292;0.344;0.845;6.212;0.32;16.407;0.396;0.147;497.53;0.132;0.158;1.165;0.06;3.071;0.074;0.028
Colombia;2022;51874028;;84.98;84.52;13.871;6.102;35.045;11746.604;6.345;25.138;399.236;20.71;8122.309;421.337;24.503;69.146;14.28;6.349;9.436;167.736;1195.396;62.01;3233.525;73.367;27.527;5.71;9.907;188.007;1230.095;63.81;3624.295;75.497;30.854;0.46;0.541;5.71;9.907;188.007;1230.095;63.81;3624.295;75.497;30.854;55.596;0.465;1.31;9.446;0.49;25.26;0.58;0.215;23.83;0.037;0.195;1.349;0.07;3.763;0.083;0.032
Costa Rica;2010;4622250;54407368704;9.5;9.47;;1.63;0.874;11786.667;;;153.605;0.71;;;7.497;;0.72;;;;1555.52;7.19;;75.924;;;;;1895.181;8.76;;92.503;;0.03;0.316;;;;1895.181;8.76;;92.503;;;;;0;0;;0;;;;;77.884;0.36;;3.801;
Costa Rica;2011;4679927;56666828800;9.66;9.7;;0.53;0.289;11703.091;;;194.447;0.91;;;9.381;;0.87;;;;1508.57;7.06;;72.784;;;;;1878.234;8.79;;90.619;;-0.04;-0.414;;;;1878.234;8.79;;90.619;;;;;0;0;;0;;;;;87.608;0.41;;4.227;
Costa Rica;2012;4736593;59384729600;10.07;10.05;;0.954;0.522;11673.354;;;190.01;0.9;;;8.955;;0.87;;;;1511.635;7.16;;71.244;;;;;1931.768;9.15;;91.045;;0.02;0.199;;;;1931.768;9.15;;91.045;;;;;2.111;0.01;;0.1;;;;;111.895;0.53;;5.274;
Costa Rica;2013;4791541;60731088896;10.16;10.11;;0.685;0.378;11618.479;;;256.702;1.23;;;12.166;;1.11;;;;1414.994;6.78;;67.062;;;;;1853.266;8.88;;87.834;;0.05;0.492;;;;1853.266;8.88;;87.834;;;;;4.174;0.02;;0.198;;;;;102.264;0.49;;4.847;
Costa Rica;2014;4844293;62954872832;10.31;10.11;;2.045;1.138;11726.931;;;227.071;1.1;;;10.88;;1.01;;;;1372.749;6.65;;65.776;;;;;1859.921;9.01;;89.12;;0.2;1.94;;;;1859.921;9.01;;89.12;;;;;4.129;0.02;;0.198;;;;;152.757;0.74;;7.319;
Costa Rica;2015;4895241;65928048640;10.65;10.76;;4.356;2.474;12110.349;;;53.113;0.26;;;2.416;;0.43;;;;1632.197;7.99;;74.257;;;;;2144.94;10.5;;97.584;;-0.11;-1.033;;;;2144.94;10.5;;97.584;;;;;6.128;0.03;;0.279;;;;;220.622;1.08;;10.037;
Costa Rica;2016;4945205;68781793280;10.51;10.85;;2.619;1.553;12301.996;;;70.776;0.35;;;3.226;;0.5;;;;1607.618;7.95;;73.272;;;;;2123.269;10.5;;96.774;;-0.34;-3.235;;;;2123.269;10.5;;96.774;;;;;6.066;0.03;;0.276;;;;;232.548;1.15;;10.599;
Costa Rica;2017;4993849;71436771328;10.56;11.27;;3.839;2.335;12649.783;;;42.052;0.21;;;1.863;;0.41;;;;1720.116;8.59;;76.22;;;;;2214.725;11.06;;98.137;;-0.71;-6.723;;;;2214.725;11.06;;98.137;;;;;8.01;0.04;;0.355;;;;;258.318;1.29;;11.446;
Costa Rica;2018;5040738;73336987648;10.69;11.44;;2.16;1.364;12802.764;;;61.499;0.31;;;2.71;;0.49;;;;1638.649;8.26;;72.203;;;;;2208.01;11.13;;97.29;;-0.75;-7.016;;;;2208.01;11.13;;97.29;;;;;11.903;0.06;;0.524;;;;;357.091;1.8;;15.734;
Costa Rica;2019;5084527;;11.06;11.43;;2.521;1.627;13012.45;;;49.169;0.25;;;2.187;;0.46;;;;1524.232;7.75;;67.804;;;;;2198.828;11.18;;97.813;;-0.37;-3.345;;;;2198.828;11.18;;97.813;;;;;15.734;0.08;;0.7;;;;;354.015;1.8;;15.748;
Costa Rica;2020;5123107;;10.62;11.74;;-11.058;-7.316;11486.324;;;37.087;0.19;;;1.618;;0.42;;;;1618.159;8.29;;70.613;;;;;2254.491;11.55;;98.382;;-1.12;-10.546;;;;2254.491;11.55;;98.382;;;;;15.616;0.08;;0.681;;;;;284.983;1.46;;12.436;
Costa Rica;2021;5153959;;11.71;12.71;;4.73;2.783;11957.598;;;31.044;0.16;;;1.259;;0.42;;;;1802.498;9.29;;73.092;;;;;2435.021;12.55;;98.741;;-1;-8.54;;;;2435.021;12.55;;98.741;;;;;11.642;0.06;;0.472;;;;;304.62;1.57;;12.352;
Costa Rica;2022;5180836;;11.95;12.63;;;;;;;48.255;0.25;;;1.979;;0.47;;;;1795.077;9.3;;73.634;;;;;2389.576;12.38;;98.021;;-0.68;-5.69;;;;2389.576;12.38;;98.021;;;;;11.581;0.06;;0.475;;;;;262.506;1.36;;10.768;
Mexico;2010;112532400;1.64E+12;263.46;264.41;12.451;0.3;6.351;18870.824;-0.559;-11.139;1842.847;207.38;17593.861;1979.88;78.431;93.233;123.17;39.054;28.508;103.135;326.928;36.79;916.491;13.914;4.857;13.797;17.49;143.7;506.787;57.03;1276.962;21.569;6.767;-0.95;-0.361;30.682;29.973;128.041;456.491;51.37;1137.811;19.428;6.029;14.815;0.011;0.086;0.267;0.03;0.765;0.011;0.004;107.782;1.774;3.439;11.019;1.24;30.562;0.469;0.162
Mexico;2011;114150480;1.72E+12;279.54;280.24;12.624;4.54;96.402;19447.846;4.428;87.679;1926.229;219.88;18112.566;2067.558;78.461;93.134;130.65;-2.389;-3.077;100.058;314.76;35.93;876.541;12.821;4.507;6.769;8.723;152.423;528.776;60.36;1335.28;21.539;6.866;-0.7;-0.25;-1.345;-2.326;125.715;444.151;50.7;1101.308;18.092;5.663;32.258;0.027;0.113;0.35;0.04;0.991;0.014;0.005;33.025;1.108;4.547;14.279;1.63;39.835;0.582;0.205
Mexico;2012;115755912;1.79E+12;285.81;284.75;12.713;0.895;19.871;19349.783;1.543;31.912;1979.51;229.14;18137.041;2099.47;80.471;93.733;136.47;-12.02;-12.561;87.497;272.902;31.59;755.875;11.094;3.906;-7.182;-12.04;140.382;480.407;55.61;1212.745;19.529;6.267;1.06;0.371;-5.898;-8.407;117.308;407.755;47.2;1013.411;16.576;5.237;68.293;0.076;0.189;0.605;0.07;1.634;0.025;0.008;123.762;5.566;10.113;31.705;3.67;87.366;1.289;0.452
Mexico;2013;117290680;1.81E+12;287.25;287.28;12.818;0.063;1.419;19108.689;0.087;1.817;1971.427;231.23;17915.207;2101.287;80.489;93.754;135.32;-12.188;-11.127;76.37;236.336;27.72;651.116;9.649;3.407;0.446;-0.398;139.984;477.873;56.05;1193.483;19.511;6.246;-0.03;-0.01;-6.411;-8.184;109.124;380.849;44.67;930.375;15.549;4.869;53.623;0.1;0.289;0.938;0.11;2.463;0.038;0.013;13.454;1.292;11.405;35.553;4.17;97.234;1.452;0.509
Mexico;2014;118755888;1.85E+12;289.66;290.19;13.028;-0.614;-13.763;18757.031;-2.064;-43.372;1881.422;223.43;17328.951;2057.915;76.994;92.386;129.07;38.797;28.995;105.364;324.615;38.55;887.234;13.284;4.73;21.984;29.609;169.593;562.162;66.76;1428.081;23.006;7.614;-0.53;-0.183;33.538;35.311;144.436;483.85;57.46;1216.241;19.801;6.484;108.491;0.31;0.599;1.853;0.22;5.042;0.076;0.027;53.57;6.005;17.409;53.471;6.35;146.596;2.188;0.782
Mexico;2015;120149896;1.90E+12;297.21;297.88;13.522;-1.101;-24.529;18335.252;-0.711;-14.63;1949.898;234.28;17006.129;2043.285;78.649;92.751;134.13;-20.573;-22.174;83.19;254.765;30.61;692.386;10.276;3.776;-4.968;-9.899;159.694;529.339;63.6;1329.123;21.351;7.249;-0.67;-0.225;-9.335;-14.659;129.777;436.288;52.42;1080.123;17.598;5.891;-8.508;-0.054;0.545;1.998;0.24;4.532;0.081;0.025;36.085;6.141;23.55;70.329;8.45;196.008;2.837;1.069
Mexico;2016;121519224;1.92E+12;303.28;303.02;13.451;2.263;49.863;18538.975;2.41;49.247;1973.186;239.78;17219.76;2092.532;79.13;92.884;137.26;-0.629;-1.012;82.178;244.735;29.74;676.255;9.815;3.648;0.939;0.616;160.31;520.411;63.24;1319.214;20.87;7.116;0.26;0.086;3.202;3.387;133.164;435.898;52.97;1095.828;17.481;5.911;24.767;0.131;0.675;3.785;0.46;5.558;0.152;0.03;18.673;4.232;27.783;81.715;9.93;228.627;3.277;1.233
Mexico;2017;122839256;1.96E+12;309.49;309.14;13.465;1.908;42.981;18689.648;1.677;35.083;1975.671;242.69;17320.318;2127.615;78.505;92.673;138.87;3.747;2.578;84.756;258.386;31.74;689.974;10.267;3.692;5.316;7.898;168.208;540.951;66.45;1369.33;21.495;7.327;0.35;0.113;5.798;7.251;140.415;454.903;55.88;1143.081;18.076;6.116;370.32;2.482;3.158;8.711;1.07;25.705;0.346;0.138;2.329;0.48;28.262;80.675;9.91;230.076;3.206;1.231
Mexico;2018;124013864;2.01E+12;333.27;332.02;14.654;-1.313;-30.133;18269.648;-2.168;-46.125;2095.895;259.92;16784.336;2081.49;78.284;91.87;147.18;2.003;1.192;85.948;260.455;32.3;693.051;9.728;3.793;10.25;15.992;184.199;581.387;72.1;1485.313;21.716;8.13;1.25;0.375;7.365;9.371;149.786;473.979;58.78;1207.816;17.704;6.611;170.686;5.34;8.497;10.967;1.36;68.519;0.41;0.375;17.095;4.638;32.9;101.037;12.53;265.295;3.774;1.452
Mexico;2019;125085312;;318.9;318.08;14.204;-1.159;-26.25;17903.295;-1.207;-25.125;1984.246;248.2;16439.701;2056.365;78.031;91.825;140.67;-27.328;-23.718;62.23;188.192;23.54;497.502;7.401;2.779;-0.132;-1.125;183.074;558.659;69.88;1463.594;21.969;8.175;0.82;0.257;3.919;4.984;154.77;471.678;59;1237.314;18.549;6.911;210.25;17.768;26.266;55.722;6.97;209.982;2.191;1.173;34.512;11.191;44.092;134.148;16.78;352.493;5.275;1.969
Mexico;2020;125998296;;329.53;325.52;15.77;-7.826;-175.25;16382.68;-10.033;-206.316;1948.122;245.46;14683.13;1850.049;75.406;89.626;136.31;14.093;8.51;70.74;212.225;26.74;561.434;8.215;3.427;16.991;31.066;214.14;635.405;80.06;1699.55;24.594;10.374;4.01;1.217;20.168;31.2;185.97;549.134;69.19;1475.972;21.255;9.009;58.923;15.323;41.589;89.208;11.24;330.075;3.453;2.015;17.792;7.654;51.745;156.907;19.77;410.684;6.073;2.507
Mexico;2021;126705136;;339.37;336.95;15.183;7.513;155.077;17515.205;6.56;121.355;1932.597;244.87;15558.993;1971.404;72.673;88.831;134.73;29.459;20.504;91.244;272.049;34.47;720.129;10.23;4.111;15.647;33.722;247.862;726.727;92.08;1956.213;27.327;11.169;2.42;0.713;17.034;31.954;217.924;636.517;80.65;1719.929;23.935;9.82;27.528;11.255;52.844;111.756;14.16;417.059;4.202;2.381;6.963;3.401;55.146;165.502;20.97;435.232;6.223;2.485
Mexico;2022;127504120;;351.92;349.5;14.42;9.214;204.483;19009.186;10.558;208.141;2031.072;258.97;17093.922;2179.545;74.097;89.925;147.28;2.431;1.877;93.121;276.854;35.3;730.338;10.1;3.842;-1.138;-3.658;244.204;710.016;90.53;1915.264;25.903;10.075;2.42;0.688;-0.031;-0.863;217.061;628.764;80.17;1702.381;22.938;8.956;-4.562;-2.595;50.249;105.016;13.39;394.095;3.831;2.073;-3.596;-2.177;52.969;158.662;20.23;415.432;5.788;2.185
